Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
53,12,8,156,7,Some Random Commen with Id 53
54,12,8,76,9,Some Random Commen with Id 54
55,12,8,175,0,Some Random Commen with Id 55
56,12,8,186,0,Some Random Commen with Id 56
57,14,5,103,0,Some Random Commen with Id 57
58,14,5,196,6,Some Random Commen with Id 58
59,14,5,166,6,Some Random Commen with Id 59
60,14,5,54,4,Some Random Commen with Id 60
61,14,5,157,6,Some Random Commen with Id 61
62,15,0,55,3,Some Random Commen with Id 62
63,15,0,124,1,Some Random Commen with Id 63
64,15,0,67,9,Some Random Commen with Id 64
65,15,0,28,3,Some Random Commen with Id 65
66,15,0,70,1,Some Random Commen with Id 66
67,15,0,179,3,Some Random Commen with Id 67
68,16,3,185,9,Some Random Commen with Id 68
69,16,3,84,8,Some Random Commen with Id 69
70,16,3,51,5,Some Random Commen with Id 70
71,16,3,123,3,Some Random Commen with Id 71
72,16,3,135,5,Some Random Commen with Id 72
73,16,3,89,0,Some Random Commen with Id 73
74,16,3,48,5,Some Random Commen with Id 74
75,16,3,18,9,Some Random Commen with Id 75
76,16,3,159,3,Some Random Commen with Id 76
77,17,3,190,9,Some Random Commen with Id 77
78,19,2,41,9,Some Random Commen with Id 78
79,19,2,85,1,Some Random Commen with Id 79
80,19,2,118,9,Some Random Commen with Id 80
81,19,2,132,1,Some Random Commen with Id 81
82,19,2,137,6,Some Random Commen with Id 82
83,19,2,76,4,Some Random Commen with Id 83
84,19,2,58,7,Some Random Commen with Id 84
85,19,2,52,4,Some Random Commen with Id 85
86,20,1,199,9,Some Random Commen with Id 86
87,20,1,88,4,Some Random Commen with Id 87
88,20,1,184,2,Some Random Commen with Id 88
89,20,1,175,9,Some Random Commen with Id 89
90,20,1,2,8,Some Random Commen with Id 90
91,20,1,15,3,Some Random Commen with Id 91
92,20,1,187,8,Some Random Commen with Id 92
93,21,0,37,1,Some Random Commen with Id 93
94,22,9,25,4,Some Random Commen with Id 94
95,22,9,152,9,Some Random Commen with Id 95
96,22,9,152,9,Some Random Commen with Id 96
97,22,9,98,6,Some Random Commen with Id 97
98,23,9,68,1,Some Random Commen with Id 98
99,23,9,150,3,Some Random Commen with Id 99
100,23,9,51,9,Some Random Commen with Id 100
101,23,9,181,3,Some Random Commen with Id 101
102,23,9,71,0,Some Random Commen with Id 102
103,23,9,187,9,Some Random Commen with Id 103
104,23,9,110,0,Some Random Commen with Id 104
105,23,9,197,0,Some Random Commen with Id 105
106,24,1,72,5,Some Random Commen with Id 106
107,24,1,24,5,Some Random Commen with Id 107
108,24,1,147,6,Some Random Commen with Id 108
109,25,7,107,2,Some Random Commen with Id 109
110,26,6,92,0,Some Random Commen with Id 110
111,26,6,171,4,Some Random Commen with Id 111
112,26,6,33,6,Some Random Commen with Id 112
113,26,6,174,2,Some Random Commen with Id 113
114,26,6,121,1,Some Random Commen with Id 114
115,26,6,21,5,Some Random Commen with Id 115
116,26,6,134,8,Some Random Commen with Id 116
117,26,6,35,5,Some Random Commen with Id 117
118,27,5,2,0,Some Random Commen with Id 118
119,27,5,145,6,Some Random Commen with Id 119
120,27,5,16,7,Some Random Commen with Id 120
121,27,5,54,1,Some Random Commen with Id 121
122,27,5,107,7,Some Random Commen with Id 122
123,27,5,123,3,Some Random Commen with Id 123
124,27,5,153,2,Some Random Commen with Id 124
125,27,5,32,0,Some Random Commen with Id 125
126,28,8,30,4,Some Random Commen with Id 126
127,28,8,175,6,Some Random Commen with Id 127
128,28,8,56,0,Some Random Commen with Id 128
129,28,8,71,6,Some Random Commen with Id 129
130,29,5,10,3,Some Random Commen with Id 130
131,29,5,73,1,Some Random Commen with Id 131
132,29,5,38,5,Some Random Commen with Id 132
133,29,5,85,0,Some Random Commen with Id 133
134,29,5,134,8,Some Random Commen with Id 134
135,30,2,62,6,Some Random Commen with Id 135
136,30,2,170,3,Some Random Commen with Id 136
137,30,2,120,4,Some Random Commen with Id 137
138,30,2,109,9,Some Random Commen with Id 138
139,31,6,183,3,Some Random Commen with Id 139
140,31,6,192,1,Some Random Commen with Id 140
141,31,6,190,1,Some Random Commen with Id 141
142,31,6,113,1,Some Random Commen with Id 142
143,31,6,1,5,Some Random Commen with Id 143
144,31,6,111,9,Some Random Commen with Id 144
145,31,6,83,9,Some Random Commen with Id 145
146,31,6,15,1,Some Random Commen with Id 146
147,31,6,128,1,Some Random Commen with Id 147
148,32,0,111,0,Some Random Commen with Id 148
149,32,0,171,8,Some Random Commen with Id 149
150,32,0,164,8,Some Random Commen with Id 150
151,32,0,56,9,Some Random Commen with Id 151
152,33,3,94,4,Some Random Commen with Id 152
153,33,3,144,6,Some Random Commen with Id 153
154,33,3,103,5,Some Random Commen with Id 154
155,34,6,182,7,Some Random Commen with Id 155
156,34,6,89,1,Some Random Commen with Id 156
157,34,6,158,5,Some Random Commen with Id 157
158,34,6,181,8,Some Random Commen with Id 158
159,34,6,96,6,Some Random Commen with Id 159
160,34,6,70,8,Some Random Commen with Id 160
161,35,2,14,3,Some Random Commen with Id 161
162,35,2,109,3,Some Random Commen with Id 162
163,36,6,19,0,Some Random Commen with Id 163
164,36,6,87,2,Some Random Commen with Id 164
165,36,6,183,9,Some Random Commen with Id 165
166,37,7,150,7,Some Random Commen with Id 166
167,37,7,136,9,Some Random Commen with Id 167
168,37,7,90,3,Some Random Commen with Id 168
169,37,7,195,6,Some Random Commen with Id 169
170,37,7,146,3,Some Random Commen with Id 170
171,37,7,12,6,Some Random Commen with Id 171
172,37,7,101,2,Some Random Commen with Id 172
173,37,7,138,7,Some Random Commen with Id 173
174,38,7,93,2,Some Random Commen with Id 174
175,38,7,64,8,Some Random Commen with Id 175
176,38,7,28,0,Some Random Commen with Id 176
177,38,7,22,8,Some Random Commen with Id 177
178,38,7,147,8,Some Random Commen with Id 178
179,38,7,182,1,Some Random Commen with Id 179
180,38,7,14,1,Some Random Commen with Id 180
181,38,7,98,0,Some Random Commen with Id 181
182,39,0,42,8,Some Random Commen with Id 182
183,39,0,18,9,Some Random Commen with Id 183
184,39,0,97,3,Some Random Commen with Id 184
185,39,0,130,1,Some Random Commen with Id 185
186,39,0,27,1,Some Random Commen with Id 186
187,39,0,57,7,Some Random Commen with Id 187
188,39,0,117,0,Some Random Commen with Id 188
